title,url,avg_rating,ratings
Retrieval-Augmented Generation for Code Summarization via Hybrid GNN,https://openreview.net/forum?id=zv-typ1gPxA,7,"['7', '7', '7']"
On the mapping between Hopfield networks and Restricted Boltzmann Machines,https://openreview.net/forum?id=RGJbergVIoO,7,"['4', '7', '10']"
On the geometry of generalization and memorization in deep neural networks,https://openreview.net/forum?id=V8jrrnwGbuc,7,"['7', '7', '7', '7']"
Benefit of deep learning with non-convex noisy gradient descent: Provable excess risk bound and superiority to kernel methods,https://openreview.net/forum?id=2m0g1wEafh,7,"['8', '6', '6', '8']"
Implicit Normalizing Flows,https://openreview.net/forum?id=8PS8m9oYtNy,7,"['8', '7', '6', '7']"
The inductive bias of ReLU networks on orthogonally separable data,https://openreview.net/forum?id=krz7T0xU9Z_,7,"['7', '8', '5', '8']"
Linear Mode Connectivity in Multitask and Continual Learning,https://openreview.net/forum?id=Fmg_fQYUejf,7,"['7', '7', '7']"
Disentangled Recurrent Wasserstein Autoencoder ,https://openreview.net/forum?id=O7ms4LFdsX,7,"['7', '7', '7']"
Rethinking Architecture Selection in Differentiable NAS,https://openreview.net/forum?id=PKubaeJkw3,7,"['6', '5', '10', '7']"
Systematic generalisation with group invariant predictions,https://openreview.net/forum?id=b9PoimzZFJ,7,"['8', '8', '6', '6']"
Memory Optimization for Deep Networks,https://openreview.net/forum?id=bnY0jm4l59,7,"['7', '7', '8', '6']"
What are the Statistical Limits of Batch RL with Linear Function Approximation?,https://openreview.net/forum?id=30EvkP2aQLD,7,"['6', '7', '7', '8']"
How Does Mixup Help With Robustness and Generalization?,https://openreview.net/forum?id=8yKEo06dKNo,7,"['6', '7', '7', '8']"
SenSeI: Sensitive Set Invariance for Enforcing Individual Fairness,https://openreview.net/forum?id=DktZb97_Fx,7,"['7', '7', '7', '7']"
Global optimality of softmax policy gradient with single hidden layer neural networks in the mean-field regime,https://openreview.net/forum?id=bB2drc7DPuB,7,"['7', '7', '7', '7']"
A Wigner-Eckart Theorem for Group Equivariant Convolution Kernels,https://openreview.net/forum?id=ajOrOhQOsYx,7,"['6', '8', '8', '6']"
Model Patching: Closing the Subgroup Performance Gap with Data Augmentation,https://openreview.net/forum?id=9YlaeLfuhJF,7,"['6', '7', '7', '8']"
Calibration tests beyond classification,https://openreview.net/forum?id=-bxf89v3Nx,7,"['9', '5', '7']"
A Distributional Approach to Controlled Text Generation,https://openreview.net/forum?id=jWkw45-9AbL,7,"['7', '7', '7']"
An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://openreview.net/forum?id=YicbFdNTTy,7,"['7', '7', '7', '7']"
